,id,type,comments_count,likes_count,upload_date
0,3408060679552484462,GraphImage,0,3,2024-07-09 08:05:14
1,3407768087675163577,GraphImage,11,178,2024-07-08 22:23:54
2,3407420989596999000,GraphImage,0,35,2024-07-08 10:54:17
3,3407355961947498370,GraphImage,0,2,2024-07-08 08:45:05
4,3407064273070587873,GraphSidecar,0,7,2024-07-07 23:05:33
5,3406916283234559852,GraphImage,0,60,2024-07-07 18:11:31
6,3406776212245445498,GraphImage,0,28,2024-07-07 13:33:13
7,3406747400816152027,GraphImage,0,3,2024-07-07 12:35:59
8,3406738215592324349,GraphImage,0,6,2024-07-07 12:17:44
9,3406124910931005113,GraphSidecar,1,33,2024-07-06 15:59:12
10,3406088198792093259,GraphImage,0,24,2024-07-06 14:46:16
11,3406046463361319862,GraphImage,3,104,2024-07-06 13:23:20
12,3406043360458902608,GraphImage,0,0,2024-07-06 13:17:11
13,3406023870707606400,GraphImage,47,7328,2024-07-06 12:38:27
14,3406011198142186508,GraphImage,0,24,2024-07-06 12:13:16
15,3405996099678350888,GraphImage,9,296,2024-07-06 11:43:17
16,3405954334736049515,GraphImage,0,12,2024-07-06 10:20:18
17,3405950683072555938,GraphSidecar,0,8,2024-07-06 10:13:02
18,3405908956318259359,GraphImage,0,3,2024-07-06 08:50:09
19,3405895867488828188,GraphImage,0,0,2024-07-06 08:24:08
20,3405577710155188460,GraphSidecar,3,52,2024-07-05 21:52:01
21,3405541637561205132,GraphImage,0,7,2024-07-05 20:40:20
22,3405485449272210876,GraphImage,0,6,2024-07-05 18:48:42
23,3405480305719977452,GraphImage,0,1,2024-07-05 18:38:29
24,3405469722086212411,GraphSidecar,0,3,2024-07-05 18:17:27
25,3405467271586749227,GraphSidecar,0,10,2024-07-05 18:12:35
26,3405405339074289276,GraphImage,0,12,2024-07-05 16:09:32
27,3405353563386963851,GraphImage,0,5,2024-07-05 14:26:40
28,3405343837339769329,GraphImage,1,7,2024-07-05 14:07:21
29,3405300442376145721,GraphImage,1,4,2024-07-05 12:41:08
30,3405278264838067839,GraphImage,1,38,2024-07-05 11:57:04
31,3405263659696191041,GraphImage,0,0,2024-07-05 11:28:03
32,3405199204140550135,GraphImage,0,40,2024-07-05 09:19:59
33,3405191500712276942,GraphImage,1,5,2024-07-05 09:04:41
34,3404897598636221191,GraphImage,0,3,2024-07-04 23:20:45
35,3404819156458063876,GraphImage,0,4,2024-07-04 20:44:54
36,3404818186466746952,GraphImage,0,7,2024-07-04 20:42:58
37,3404757100674665116,GraphImage,0,3,2024-07-04 18:41:36
38,3404707303966923265,GraphSidecar,0,57,2024-07-04 17:02:40
39,3404658734876478257,GraphImage,0,71,2024-07-04 15:26:10
40,3404602207712280791,GraphImage,0,2,2024-07-04 13:33:52
41,3404596496597769180,GraphImage,0,5,2024-07-04 13:22:31
42,3404578475719470708,GraphImage,0,3,2024-07-04 12:46:43
43,3404571849716216689,GraphImage,0,11,2024-07-04 12:33:33
44,3404541944991697551,GraphImage,0,6,2024-07-04 11:34:08
45,3404488861495397898,GraphImage,0,3,2024-07-04 09:48:40
46,3404485972700769210,GraphImage,0,6,2024-07-04 09:42:56
47,3404455373783370346,GraphImage,1,6,2024-07-04 08:42:08
48,3404441766642104456,GraphImage,0,3,2024-07-04 08:15:06
49,3404373887350242774,GraphImage,0,9,2024-07-04 06:00:14
50,3404245904130728638,GraphImage,1,15,2024-07-04 01:45:57
51,3404138263878400729,GraphImage,0,2,2024-07-03 22:12:05
52,3404129131384775998,GraphImage,0,1,2024-07-03 21:53:57
53,3404120284429778825,GraphImage,1,6,2024-07-03 21:36:22
54,3404106081855911180,GraphImage,0,11,2024-07-03 21:08:09
55,3404103453442702285,GraphImage,2,107,2024-07-03 21:02:55
56,3404082855943716211,GraphImage,0,5,2024-07-03 20:22:00
57,3404056960801116231,GraphImage,1,10,2024-07-03 19:30:33
58,3403845315339654900,GraphImage,0,4,2024-07-03 12:30:03
59,3403843995441496342,GraphImage,0,10,2024-07-03 12:27:27
60,3403814218351568162,GraphImage,0,4,2024-07-03 11:28:16
61,3403769887367860836,GraphImage,0,2,2024-07-03 10:00:12
62,3403729080077523825,GraphImage,0,7,2024-07-03 08:39:07
63,3403687780871259686,GraphImage,0,2,2024-07-03 07:17:03
64,3403458202361174041,GraphImage,0,1,2024-07-02 23:40:56
65,3403456944213673817,GraphImage,0,100,2024-07-02 23:38:26
66,3403449573755143470,GraphSidecar,0,3,2024-07-02 23:23:47
67,3403448486215141159,GraphSidecar,1,56,2024-07-02 23:21:37
68,3403441357952582138,GraphImage,0,2,2024-07-02 23:07:28
