,id,type,comments_count,likes_count,upload_date
0,3408328692214719399,GraphImage,0,1,2024-07-09 16:57:44
1,3408327712525869582,GraphVideo,0,39,2024-07-09 16:55:55
2,3408325045090008101,GraphImage,0,0,2024-07-09 16:50:28
3,3408315486003355199,GraphImage,16,2310,2024-07-09 16:31:29
4,3408313625982027494,GraphImage,3,126,2024-07-09 16:27:47
5,3408312840226973248,GraphImage,0,0,2024-07-09 16:26:14
6,3408304609650530300,GraphImage,0,0,2024-07-09 16:09:52
7,3408299728590378408,GraphImage,6,463,2024-07-09 16:00:11
8,3408296856885313235,GraphImage,12,735,2024-07-09 15:54:29
9,3408294651772878048,GraphImage,0,65,2024-07-09 15:50:06
10,3408290931691026054,GraphVideo,0,3,2024-07-09 15:43:01
11,3408276940332804216,GraphSidecar,0,18,2024-07-09 15:14:54
12,3408269297128081390,GraphImage,1,8,2024-07-09 14:59:43
13,3408268500688832361,GraphImage,0,201,2024-07-09 14:58:08
14,3408267897699502530,GraphImage,0,0,2024-07-09 14:56:56
15,3408267463378045831,GraphImage,21,2354,2024-07-09 14:56:04
16,3408258233104742248,GraphImage,0,50,2024-07-09 14:37:44
17,3408241116470910674,GraphImage,5,100,2024-07-09 14:03:43
18,3408238211120284063,GraphImage,0,7,2024-07-09 13:57:57
19,3408237195856193954,GraphImage,1,169,2024-07-09 13:55:56
20,3408235603227103717,GraphImage,0,1,2024-07-09 13:52:46
21,3408234905377873359,GraphImage,7,83,2024-07-09 13:51:23
22,3408231652755176528,GraphImage,0,0,2024-07-09 13:44:55
23,3408231522639704831,GraphImage,0,8,2024-07-09 13:44:40
24,3408229521042302433,GraphImage,0,0,2024-07-09 13:40:41
25,3408224350799101068,GraphImage,11,357,2024-07-09 13:30:25
26,3408218132508473199,GraphImage,37,3219,2024-07-09 13:18:03
27,3408208734046762202,GraphImage,2,108,2024-07-09 12:59:23
28,3408204566931279623,GraphImage,0,0,2024-07-09 12:51:06
29,3408203914796440267,GraphSidecar,4,8,2024-07-09 12:49:49
30,3408201375774431353,GraphImage,0,0,2024-07-09 12:44:46
31,3408200658293087754,GraphImage,0,0,2024-07-09 12:43:20
32,3408200492735070902,GraphImage,0,0,2024-07-09 12:43:01
33,3408199139111558371,GraphImage,0,0,2024-07-09 12:40:19
34,3408197649043058256,GraphImage,0,0,2024-07-09 12:37:22
35,3408196340272058420,GraphImage,54,5899,2024-07-09 12:34:46
36,3408196064538467855,GraphImage,68,3007,2024-07-09 12:34:13
37,3408195880559451284,GraphImage,141,4336,2024-07-09 12:33:51
38,3408194398618475297,GraphImage,0,6,2024-07-09 12:30:54
39,3408192377683314414,GraphImage,1,37,2024-07-09 12:26:53
40,3408188629720909400,GraphImage,1,5,2024-07-09 12:19:26
41,3408188312893666485,GraphImage,0,4,2024-07-09 12:18:49
42,3408177502896837967,GraphSidecar,0,209,2024-07-09 11:57:20
43,3408177242297572921,GraphImage,42,693,2024-07-09 11:56:49
44,3408174858783522632,GraphImage,0,12,2024-07-09 11:52:05
45,3408173934023357507,GraphImage,0,40,2024-07-09 11:50:15
46,3408167656585980720,GraphImage,18,3634,2024-07-09 11:37:46
47,3408161842397416314,GraphImage,0,145,2024-07-09 11:26:13
48,3408138330420996045,GraphImage,0,12,2024-07-09 10:39:30
49,3408136181143386460,GraphImage,0,0,2024-07-09 10:35:14
50,3408133891406206878,GraphImage,0,0,2024-07-09 10:30:41
51,3408130780923796949,GraphImage,0,0,2024-07-09 10:24:30
52,3408130097531198379,GraphImage,0,1,2024-07-09 10:23:09
53,3408130010097458448,GraphImage,0,0,2024-07-09 10:22:58
54,3408126320638056639,GraphImage,2,865,2024-07-09 10:15:39
55,3408125322182764953,GraphImage,0,0,2024-07-09 10:13:40
56,3408113014618214391,GraphImage,0,57,2024-07-09 09:49:12
57,3408109394002953211,GraphImage,0,0,2024-07-09 09:42:01
58,3407872296349090874,GraphSidecar,0,1,2024-07-09 01:50:57
